行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
1,US-2018-1357144,2018-04-27,2018-04-29,二级,曾惠-14485,曾惠,公司,杭州,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",129.696,2,0.4,-60.70400000000001
2,CN-2018-1973789,2018-06-15,2018-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-信封-10004832,办公用品,信封,"GlobeWeis 搭扣信封, 红色",125.43999999999998,2,0.0,42.56
3,CN-2018-1973789,2018-06-15,2018-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-装订-10001505,办公用品,装订机,"Cardinal 孔加固材料, 回收",31.92,2,0.4,4.199999999999999
4,US-2018-3017568,2018-12-09,2018-12-13,标准级,宋良-17170,宋良,公司,镇江,江苏,中国,华东,办公用-用品-10003746,办公用品,用品,"Kleencut 开信刀, 工业",321.216,4,0.4,-27.104000000000013
5,CN-2017-2975416,2017-05-31,2017-06-02,二级,万兰-15730,万兰,消费者,汕头,广东,中国,中南,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",1375.92,3,0.0,550.2
6,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.580000000002,9,0.0,3783.78
7,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76
8,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08
9,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.900000000000006
10,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.879999999999995
11,CN-2015-4195213,2015-12-22,2015-12-24,二级,谢雯-21700,谢雯,小型企业,榆林,陕西,中国,西北,技术-设备-10000001,技术,设备,"爱普生 计算器, 耐用",434.28,2,0.0,4.2
12,CN-2018-5801711,2018-06-01,2018-06-06,标准级,康青-19585,康青,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10002416,技术,复印机,"惠普 墨水, 红色",2368.7999999999997,4,0.0,639.52
13,CN-2016-2752724,2016-06-05,2016-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,办公用-信封-10000017,办公用品,信封,"Jiffy 局间信封, 银色",683.76,3,0.0,88.62
14,CN-2016-2752724,2016-06-05,2016-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-配件-10004920,技术,配件,"SanDisk 键区, 可编程",1326.5000000000005,5,0.0,344.4
15,CN-2016-2752724,2016-06-05,2016-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",5936.56,2,0.0,2849.28
16,US-2017-2511714,2017-11-22,2017-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-器具-10003582,办公用品,器具,"KitchenAid 冰箱, 黑色",10336.452,7,0.4,-3962.728
17,US-2017-2511714,2017-11-22,2017-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-标签-10004648,办公用品,标签,"Novimex 圆形标签, 红色",85.25999999999999,3,0.0,38.22
18,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.1399999999999
19,CN-2018-5631342,2018-10-02,2018-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.939999999999998
